Year,Month,Day,Daily/Monthly,State,County,FIPS Code,Grid Index,Lat (llcrnr),Lon (llcrnr),Lat (urcrnr),Lon (urcrnr),Avg Temperature (K),Max Temperature (K),Min Temperature (K),Precipitation (kg m**-2),Relative Humidity (%),Wind Gust (m s**-1),Wind Speed (m s**-1),U Component of Wind (m s**-1),V Component of Wind (m s**-1),Downward Shortwave Radiation Flux (W m**-2),Vapor Pressure Deficit (kPa)
2021,11,1.0,Daily,IOWA,ADAIR,19001,0.0,41.157134,-94.700629,41.27280533333333,-94.58587,276.375,279.576,273.338,0.113,76.8,4.661,2.53,2.192,-0.472,1445.7,0.186
2021,11,2.0,Daily,IOWA,ADAIR,19001,0.0,41.157134,-94.700629,41.27280533333333,-94.58587,275.022,281.79,268.6,0.0,69.2,3.843,2.147,1.99,0.019,3323.3,0.268
2021,11,3.0,Daily,IOWA,ADAIR,19001,0.0,41.157134,-94.700629,41.27280533333333,-94.58587,275.671,281.289,272.11,0.0,76.4,3.396,2.019,0.486,1.24,1970.1,0.197
2021,11,4.0,Daily,IOWA,ADAIR,19001,0.0,41.157134,-94.700629,41.27280533333333,-94.58587,279.891,285.897,275.931,0.0,61.9,6.298,3.549,0.851,3.411,2958.9,0.402
2021,11,5.0,Daily,IOWA,ADAIR,19001,0.0,41.157134,-94.700629,41.27280533333333,-94.58587,280.508,288.482,275.709,0.0,74.8,9.991,5.619,0.045,5.534,2935.4,0.326
2021,11,6.0,Daily,IOWA,ADAIR,19001,0.0,41.157134,-94.700629,41.27280533333333,-94.58587,282.446,291.846,275.9,0.0,76.0,7.445,4.157,1.365,3.87,3130.5,0.349
2021,11,7.0,Daily,IOWA,ADAIR,19001,0.0,41.157134,-94.700629,41.27280533333333,-94.58587,285.269,293.839,280.769,0.0,73.4,9.281,4.9,0.469,4.849,3012.4,0.46
2021,11,8.0,Daily,IOWA,ADAIR,19001,0.0,41.157134,-94.700629,41.27280533333333,-94.58587,283.51,290.589,276.484,0.0,77.8,5.13,2.739,-0.68,-0.603,2969.9,0.328
2021,11,9.0,Daily,IOWA,ADAIR,19001,0.0,41.157134,-94.700629,41.27280533333333,-94.58587,283.847,288.561,279.127,0.0,48.1,9.343,4.811,-2.356,-4.109,3189.2,0.688
2021,11,10.0,Daily,IOWA,ADAIR,19001,0.0,41.157134,-94.700629,41.27280533333333,-94.58587,282.655,285.934,279.276,11.267,85.9,7.768,3.419,-2.708,1.49,246.2,0.157
2021,11,11.0,Daily,IOWA,ADAIR,19001,0.0,41.157134,-94.700629,41.27280533333333,-94.58587,281.017,285.087,276.325,17.795,76.3,13.861,6.913,5.892,-1.569,3265.9,0.245
2021,11,12.0,Daily,IOWA,ADAIR,19001,0.0,41.157134,-94.700629,41.27280533333333,-94.58587,274.315,278.568,272.849,0.787,81.4,18.518,9.401,8.654,-3.234,196.8,0.13
2021,11,13.0,Daily,IOWA,ADAIR,19001,0.0,41.157134,-94.700629,41.27280533333333,-94.58587,273.251,276.969,271.502,0.019,82.0,9.857,5.814,4.055,-1.274,885.9,0.116
