feature,mean,std
ag_green_pixel_ratio,0.3810641648563152,0.32801796885425455
ag_vegetation_area_percent,38.10641648563152,32.80179688542545
ag_brown_yellow_pixel_ratio,0.05403220575535521,0.04204737281111542
ag_soil_exposure_ratio,0.37795421291816067,0.2762548569576717
ag_shadow_cloud_ratio,0.027949964712549246,0.07644370255342753
ag_mean_brightness,0.7490989790997049,0.11250704233481754
ag_texture_entropy,6.429710756196077,0.8191942032662339
ag_field_uniformity_score,0.14273709585802,0.08402967629786265
ndvi_mean,0.30353468720499716,0.15905227011313156
ndvi_median,0.3211179659577679,0.19617967882839235
ndvi_max,0.45545022556289283,0.06762965814264074
ndvi_std,0.12847064935144847,0.048961268649133464
ndvi_cv,3.2677370533787284,26.958401429937272
ndvi_p25,0.2412532853493623,0.21037747589141179
ndvi_p75,0.38373771791536554,0.15154830924457643
ndvi_above_0_3_ratio,0.592625238182293,0.2895171896162003
ndvi_above_0_5_ratio,0.0,1.0
ndvi_above_0_7_ratio,0.0,1.0
ndvi_low_ratio,0.4073747618177071,0.2895171896162003
ndvi_valid_coverage_ratio,0.6491696912841092,0.24328515269819848
weather_temp_mean,,1.0
weather_temp_max,,1.0
weather_temp_min,,1.0
weather_gdd,,1.0
weather_heat_stress_days,,1.0
weather_cold_stress_days,,1.0
weather_total_precipitation,,1.0
weather_precipitation_days,,1.0
weather_heavy_rain_days,,1.0
weather_drought_index,,1.0
weather_humidity_mean,,1.0
weather_wind_mean,,1.0
weather_solar_radiation_mean,,1.0
weather_vpd_mean,,1.0
weather_temp_range_mean,,1.0
