batch_id,fips_codes,years,quarters,run_name
1,19001 19003 19005 19007 19009 19011 19013 19015 19017 19019,2017 2018 2019 2020 2021 2022,Q1 Q2 Q3 Q4,corn_ia_monthly_2017_2022_batch_001
2,19021 19023 19025 19027 19029 19031 19033 19035 19037 19039,2017 2018 2019 2020 2021 2022,Q1 Q2 Q3 Q4,corn_ia_monthly_2017_2022_batch_002
3,19041 19043 19045 19047 19049 19051 19053 19055 19057 19059,2017 2018 2019 2020 2021 2022,Q1 Q2 Q3 Q4,corn_ia_monthly_2017_2022_batch_003
4,19061 19063 19065 19067 19069 19071 19073 19075 19077 19079,2017 2018 2019 2020 2021 2022,Q1 Q2 Q3 Q4,corn_ia_monthly_2017_2022_batch_004
5,19081 19083 19085 19087 19089 19091 19093 19095 19097 19099,2017 2018 2019 2020 2021 2022,Q1 Q2 Q3 Q4,corn_ia_monthly_2017_2022_batch_005
6,19101 19103 19105 19107 19109 19111 19113 19115 19117 19119,2017 2018 2019 2020 2021 2022,Q1 Q2 Q3 Q4,corn_ia_monthly_2017_2022_batch_006
7,19121 19123 19125 19127 19129 19131 19133 19135 19137 19139,2017 2018 2019 2020 2021 2022,Q1 Q2 Q3 Q4,corn_ia_monthly_2017_2022_batch_007
8,19141 19143 19145 19147 19149 19151 19153 19155 19157 19159,2017 2018 2019 2020 2021 2022,Q1 Q2 Q3 Q4,corn_ia_monthly_2017_2022_batch_008
9,19161 19163 19165 19167 19169 19171 19173 19175 19177 19179,2017 2018 2019 2020 2021 2022,Q1 Q2 Q3 Q4,corn_ia_monthly_2017_2022_batch_009
10,19181 19183 19185 19187 19189 19191 19193 19195 19197,2017 2018 2019 2020 2021 2022,Q1 Q2 Q3 Q4,corn_ia_monthly_2017_2022_batch_010
