feature,importance
weather_cold_stress_days,0.09493738365351051
weather_gdd,0.05037415603222615
ndvi_max,0.04437615664052775
ndvi_p25,0.04428133757798864
weather_temp_range_mean,0.04343443873215657
ag_brown_yellow_pixel_ratio,0.04050674591457192
ndvi_above_0_3_ratio,0.03468097960698005
ndvi_valid_coverage_ratio,0.033934073531975716
weather_precipitation_days,0.033168447055961996
ndvi_p75,0.03155095420945835
ag_field_uniformity_score,0.03143175601445133
month_sin,0.029412998718569817
ndvi_above_0_7_ratio,0.029265718448392125
weather_humidity_mean,0.02875027097906166
weather_total_precipitation,0.026889389235768724
weather_drought_index,0.02533739670353073
weather_solar_radiation_mean,0.02510568264304585
ndvi_low_ratio,0.02389163005211746
ndvi_above_0_5_ratio,0.023474500021708988
ag_soil_exposure_ratio,0.02311396381357332
weather_temp_max,0.02127134382081702
weather_heavy_rain_days,0.021133623280785666
ag_green_pixel_ratio,0.021107352753948056
ag_mean_brightness,0.019651278673101024
ndvi_std,0.019477409102862973
weather_wind_mean,0.019444556670419912
weather_temp_mean,0.017306499391953386
ag_vegetation_area_percent,0.01721258310990087
weather_temp_min,0.015886081827909026
weather_vpd_mean,0.014891014580061231
month_cos,0.013817906517570677
ndvi_cv,0.013726963204575227
month,0.0132947192289297
ndvi_median,0.012968480845308748
ndvi_mean,0.011938144308661813
ag_texture_entropy,0.011007383975072494
ag_shadow_cloud_ratio,0.009742506847905317
weather_heat_stress_days,0.008204172274639317
