feature,importance
weather_temp_range_mean,13.566714875487468
ndvi_above_0_3_ratio,12.35109371560141
weather_temp_mean,11.014664195975957
ndvi_mean,10.219500556362041
weather_vpd_mean,9.084421908405066
weather_cold_stress_days,8.971720118546601
weather_solar_radiation_mean,6.949350083627328
ag_mean_brightness,6.389100290300456
ag_soil_exposure_ratio,5.5614213953294795
ndvi_std,5.269840207141529
ndvi_valid_coverage_ratio,5.184430715931126
ag_brown_yellow_pixel_ratio,5.091573642215443
weather_precipitation_days,4.943523040558893
ag_shadow_cloud_ratio,4.137268326986027
ndvi_median,3.9815303185082165
weather_temp_max,3.8541359723071373
ndvi_max,3.665930218427098
ag_texture_entropy,3.3137992763044566
ndvi_p25,3.2696703972734658
ndvi_above_0_5_ratio,3.15276407597939
weather_heavy_rain_days,2.2172042773412683
weather_total_precipitation,2.009621732270466
ag_green_pixel_ratio,1.9907098762379791
ndvi_p75,1.8661959822996061
ag_field_uniformity_score,1.6834776361170207
weather_humidity_mean,1.2941321208029435
weather_wind_mean,0.9663910541793697
weather_temp_min,0.9103044627315887
weather_gdd,0.4594659576478145
month,0.1656899687420884
month_cos,0.09254914299105352
month_sin,0.09238482845468439
ndvi_cv,0.08397203671970775
