model,model_type,feature_group,train_rows,test_rows,rmse,mae,r2,mape
BaselinePreviousYearSameCounty,baseline,baseline,5460,1164,18.354003375999483,15.735989577432878,0.2663461481048667,8.400475044426894
remote_only_ExtraTrees,ml,remote_only,5460,1164,20.008085926942808,16.272926073883163,0.12815220149320106,8.542031678544262
remote_only_Ridge,ml,remote_only,5460,1164,20.324056040207676,16.85388468018458,0.10039811862845138,8.90847497754969
remote_only_RandomForest,ml,remote_only,5460,1164,20.703224431995817,16.76517659583686,0.06651881738783161,8.81029229237616
history_only_Ridge,ml,history_only,5460,1164,21.498989744909004,18.25364893663524,-0.006620319217495618,9.107850398221501
BaselineTrainMean,baseline,baseline,5460,1164,21.673225237109236,18.06845587402289,-0.0230024559007016,9.656702378570902
combined_Ridge,ml,combined,5460,1164,23.08720819283154,19.094171054062503,-0.1608401646526587,9.456798540466597
history_only_ExtraTrees,ml,history_only,5460,1164,24.112977708756805,20.502561512027466,-0.26628445908717957,10.23571858474513
combined_ExtraTrees,ml,combined,5460,1164,24.255071154070993,20.64498880297824,-0.2812524048486955,10.305031757799963
history_only_RandomForest,ml,history_only,5460,1164,27.189481422777895,23.349797449505964,-0.6100206138178821,11.692712132980184
combined_RandomForest,ml,combined,5460,1164,27.461952610637855,23.66945270688603,-0.6424509712137523,11.86528933651078
