run_name,states,max_counties,years,train_years,val_years,test_years,seq_len,epochs,batch_size,learning_rate,hidden_size,num_layers,dropout,loss_mode,feature_group,target_mode,split,model,modality,rmse,mae,r2,features_beating_naive,runtime_seconds,status
ia10_seq12_base,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,12.0,80.0,64.0,0.001,64.0,1.0,0.0,raw_mse,all,raw,val,naive_lag1,ag,7.874177435649131,2.240698337554932,,0.0,1.9373996257781982,completed
ia10_seq12_base,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,12.0,80.0,64.0,0.001,64.0,1.0,0.0,raw_mse,all,raw,val,naive_lag1,ndvi,3.5392150172365087,0.4227045774459839,,0.0,1.9373996257781982,completed
ia10_seq12_base,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,12.0,80.0,64.0,0.001,64.0,1.0,0.0,raw_mse,all,raw,val,naive_lag1,weather,341.466838159286,80.25187683105469,,0.0,1.9373996257781982,completed
ia10_seq12_base,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,12.0,80.0,64.0,0.001,64.0,1.0,0.0,raw_mse,all,raw,test,naive_lag1,ag,7.757100206080732,2.18254828453064,,0.0,1.9373996257781982,completed
ia10_seq12_base,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,12.0,80.0,64.0,0.001,64.0,1.0,0.0,raw_mse,all,raw,test,naive_lag1,ndvi,2.8523311049453515,0.3677237629890442,,0.0,1.9373996257781982,completed
ia10_seq12_base,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,12.0,80.0,64.0,0.001,64.0,1.0,0.0,raw_mse,all,raw,test,naive_lag1,weather,574.9478780724388,107.1949462890625,,0.0,1.9373996257781982,completed
ia10_seq12_base,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,12.0,80.0,64.0,0.001,64.0,1.0,0.0,raw_mse,all,raw,val,lstm,ag,7.036642626069728,1.8777084350585935,,31.0,1.9373996257781982,completed
ia10_seq12_base,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,12.0,80.0,64.0,0.001,64.0,1.0,0.0,raw_mse,all,raw,val,lstm,ndvi,2.626862818644105,0.5695165991783142,,31.0,1.9373996257781982,completed
ia10_seq12_base,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,12.0,80.0,64.0,0.001,64.0,1.0,0.0,raw_mse,all,raw,val,lstm,weather,205.04002086483015,49.98868179321289,,31.0,1.9373996257781982,completed
ia10_seq12_base,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,12.0,80.0,64.0,0.001,64.0,1.0,0.0,raw_mse,all,raw,test,lstm,ag,6.254541196882157,1.749020218849182,,30.0,1.9373996257781982,completed
