model,known_months,count,rmse,mae,nrmse_std,nrmse_range,smape,pearson_corr,r2,modality,lag1_rmse,seasonal_last_year_rmse,beats_lag1,beats_seasonal_last_year,raw_rmse,raw_mae,count_overall,feature_wins_vs_lag1,feature_wins_vs_seasonal_last_year,run_name,feature_group,selected_feature_count,target_mode,loss_mode,trainable_parameters,training_runtime_seconds,input_dim,output_dim,seq_len,checkpoint_size_bytes,sarima_fit_count,sarima_fallback_count
ensemble_mean,1,2640.0,4.131497952735743,1.1198498577460605,0.5847252665673651,0.1051351238292739,47.08001262009931,0.9740779663029552,0.9472200556404372,all,15.970441345186568,4.164559188742336,True,True,4.131497952735743,1.1198498577460603,2640,7,8,ablation_ia30_seq6_lstm_residual_ag,ag,8,seasonal_residual,raw_mse,0,,8,8,6,0,1200,0
lstm,1,2640.0,4.39901875506203,1.242281870266886,0.6644353498347462,0.1172771372112984,57.61451274874544,0.971663921245982,0.9401635979588356,all,15.970441345186568,4.164559188742336,True,False,4.39901875506203,1.242281870266886,2640,7,1,ablation_ia30_seq6_lstm_residual_ag,ag,8,seasonal_residual,raw_mse,19592,0.9165563990245572,8,8,6,81811,1200,0
naive_lag1,1,2640.0,15.970441345186568,4.417287484552092,1.2519931897980692,0.2932178709538784,85.45825806668819,0.5521382111710086,0.2113438750119715,all,15.970441345186568,4.164559188742336,False,False,15.970441345186567,4.417287484552092,2640,0,1,ablation_ia30_seq6_lstm_residual_ag,ag,8,seasonal_residual,raw_mse,0,,8,8,6,0,1200,0
sarima,1,2640.0,5.177883370349858,1.5268514875703576,0.6658053248461768,0.1261049132343066,53.1771473971716,0.9673019210693552,0.9170992671230204,all,15.970441345186568,4.164559188742336,True,False,5.177883370349858,1.5268514875703576,2640,7,1,ablation_ia30_seq6_lstm_residual_ag,ag,8,seasonal_residual,raw_mse,0,,8,8,6,0,1200,0
seasonal_last_year,1,2640.0,4.164559188742336,1.0734729028126864,0.6201424964534367,0.1100451786279423,43.58409306991252,0.9732168317750096,0.9463719604590216,all,15.970441345186568,4.164559188742336,True,False,4.164559188742336,1.0734729028126864,2640,7,0,ablation_ia30_seq6_lstm_residual_ag,ag,8,seasonal_residual,raw_mse,0,,8,8,6,0,1200,0
ensemble_mean,1,6600.0,3.649856693833117,0.6621913652972945,0.5878354017676611,0.1097530049080187,54.791774162061714,0.9529668426559704,0.906724850180784,all,10.40859999284707,3.678958827512655,True,True,3.649856693833117,0.6621913652972945,6600,17,19,ablation_ia30_seq6_lstm_residual_ag_ndvi,ag_ndvi,20,seasonal_residual,raw_mse,0,,20,20,6,0,3000,0
lstm,1,6600.0,3.920830752101466,0.7951276397256565,0.636447877509124,0.1198862257135689,63.68931911568959,0.9462702176134954,0.8923607822383555,all,10.40859999284707,3.678958827512655,True,False,3.920830752101466,0.7951276397256565,6600,17,6,ablation_ia30_seq6_lstm_residual_ag_ndvi,ag_ndvi,20,seasonal_residual,raw_mse,23444,0.9532217379892244,20,20,6,97235,3000,0
naive_lag1,1,6600.0,10.40859999284707,2.0031813048188494,1.3523041902945083,0.3144504603235397,74.33839469177228,0.5671895029194592,0.2414242298276475,all,10.40859999284707,3.678958827512655,False,False,10.40859999284707,2.0031813048188494,6600,0,2,ablation_ia30_seq6_lstm_residual_ag_ndvi,ag_ndvi,20,seasonal_residual,raw_mse,0,,20,20,6,0,3000,0
sarima,1,6600.0,4.110891637647091,0.8325749860572609,0.6732693706701177,0.1304615800865683,58.025761246710566,0.9468684557485414,0.8816723115227696,all,10.40859999284707,3.678958827512655,True,False,4.110891637647091,0.8325749860572609,6600,18,5,ablation_ia30_seq6_lstm_residual_ag_ndvi,ag_ndvi,20,seasonal_residual,raw_mse,0,,20,20,6,0,3000,0
seasonal_last_year,1,6600.0,3.678958827512655,0.6086917410259595,0.6257589433449953,0.11603154462834,42.21862217294514,0.9516009636896036,0.905231463465534,all,10.40859999284707,3.678958827512655,True,False,3.6789588275126546,0.6086917410259595,6600,17,0,ablation_ia30_seq6_lstm_residual_ag_ndvi,ag_ndvi,20,seasonal_residual,raw_mse,0,,20,20,6,0,3000,0
