model,known_months,count,rmse,mae,nrmse_std,nrmse_range,smape,pearson_corr,r2,modality,lag1_rmse,seasonal_last_year_rmse,beats_lag1,beats_seasonal_last_year,raw_rmse,raw_mae,count_overall,feature_wins_vs_lag1,feature_wins_vs_seasonal_last_year,run_name,feature_group,selected_feature_count,target_mode,loss_mode,trainable_parameters,training_runtime_seconds,input_dim,output_dim,seq_len,checkpoint_size_bytes,sarima_fit_count,sarima_fallback_count
ensemble_mean,0,2880.0,4.486013154568359,1.2319464656520005,0.64888946390846,0.1168083869611451,49.09957421186501,0.9660774611844286,0.9329315945333532,all,14.691387062635464,4.619036433402385,True,True,4.486013154568359,1.2319464656520003,2880,7,8,ablation_ia30_seq6_lstm_residual_ag,ag,8,seasonal_residual,raw_mse,0,,8,8,6,0,1200,0
ensemble_mean,1,2640.0,4.131497952735743,1.1198498577460605,0.5847252665673651,0.1051351238292739,47.08001262009931,0.9740779663029552,0.9472200556404372,all,15.970441345186568,4.164559188742336,True,True,4.131497952735743,1.1198498577460603,2640,7,8,ablation_ia30_seq6_lstm_residual_ag,ag,8,seasonal_residual,raw_mse,0,,8,8,6,0,1200,0
ensemble_mean,3,2160.0,4.038633724590757,1.0498185778571227,0.4794189245461457,0.0925989420749944,36.555822736723,0.980412346021117,0.9579409174778376,all,19.104871418121487,4.062688833029685,True,True,4.038633724590757,1.0498185778571227,2160,7,6,ablation_ia30_seq6_lstm_residual_ag,ag,8,seasonal_residual,raw_mse,0,,8,8,6,0,1200,0
ensemble_mean,6,1440.0,4.227920321002532,1.0896853983363175,0.4658626683325982,0.0909519710487114,34.61104757973403,0.9837262412432312,0.9652924245600978,all,14.705098622697168,4.247728480093026,True,True,4.227920321002532,1.0896853983363177,1440,8,6,ablation_ia30_seq6_lstm_residual_ag,ag,8,seasonal_residual,raw_mse,0,,8,8,6,0,1200,0
ensemble_mean,9,720.0,4.517155648297447,1.1407508668986135,0.4881503395782454,0.0994809404411838,29.92216990562025,0.9369340170209788,0.8772055022462355,all,22.83782855597976,4.992335853852052,True,True,4.517155648297447,1.1407508668986135,720,8,4,ablation_ia30_seq6_lstm_residual_ag,ag,8,seasonal_residual,raw_mse,0,,8,8,6,0,1200,0
lstm,0,2880.0,4.833303064252895,1.3525073905762437,0.7338232772700122,0.1306483712086668,58.93694866979915,0.9641314305859336,0.9221452784777436,all,14.691387062635464,4.619036433402385,True,False,4.8333030642528945,1.3525073905762435,2880,7,0,ablation_ia30_seq6_lstm_residual_ag,ag,8,seasonal_residual,raw_mse,19592,0.9165563990245572,8,8,6,81811,1200,0
lstm,1,2640.0,4.39901875506203,1.242281870266886,0.6644353498347462,0.1172771372112984,57.61451274874544,0.971663921245982,0.9401635979588356,all,15.970441345186568,4.164559188742336,True,False,4.39901875506203,1.242281870266886,2640,7,1,ablation_ia30_seq6_lstm_residual_ag,ag,8,seasonal_residual,raw_mse,19592,0.9165563990245572,8,8,6,81811,1200,0
lstm,3,2160.0,4.026579148162002,1.1202607827483682,0.5714732328306406,0.1053718853511131,47.951060423267336,0.979874176029811,0.9581916200528738,all,19.104871418121487,4.062688833029685,True,True,4.026579148162002,1.1202607827483682,2160,7,1,ablation_ia30_seq6_lstm_residual_ag,ag,8,seasonal_residual,raw_mse,19592,0.9165563990245572,8,8,6,81811,1200,0
lstm,6,1440.0,4.17050507190531,1.1602105854686269,0.5447147204084121,0.1017625167311419,45.25626692256088,0.9842677718850508,0.9662286828484054,all,14.705098622697168,4.247728480093026,True,True,4.17050507190531,1.1602105854686267,1440,7,1,ablation_ia30_seq6_lstm_residual_ag,ag,8,seasonal_residual,raw_mse,19592,0.9165563990245572,8,8,6,81811,1200,0
lstm,9,720.0,4.52845577046637,1.1370589136462916,0.569076986055816,0.1173418026407742,44.0763889539265,0.9364347421265062,0.8765903695565761,all,22.83782855597976,4.992335853852052,True,True,4.52845577046637,1.1370589136462916,720,7,2,ablation_ia30_seq6_lstm_residual_ag,ag,8,seasonal_residual,raw_mse,19592,0.9165563990245572,8,8,6,81811,1200,0
naive_lag1,0,2880.0,14.691387062635464,3.899433055557004,1.258201898724183,0.3040436395318581,71.016849120287,0.6340116111610044,0.2806793992188865,all,14.691387062635464,4.619036433402385,False,False,14.691387062635465,3.8994330555570036,2880,0,1,ablation_ia30_seq6_lstm_residual_ag,ag,8,seasonal_residual,raw_mse,0,,8,8,6,0,1200,0
naive_lag1,1,2640.0,15.970441345186568,4.417287484552092,1.2519931897980692,0.2932178709538784,85.45825806668819,0.5521382111710086,0.2113438750119715,all,15.970441345186568,4.164559188742336,False,False,15.970441345186567,4.417287484552092,2640,0,1,ablation_ia30_seq6_lstm_residual_ag,ag,8,seasonal_residual,raw_mse,0,,8,8,6,0,1200,0
naive_lag1,3,2160.0,19.104871418121487,5.653924642862545,1.3990059690604255,0.3198689905311827,90.30819227356756,0.5472906208042885,0.0588061118871707,all,19.104871418121487,4.062688833029685,False,False,19.104871418121487,5.653924642862545,2160,0,1,ablation_ia30_seq6_lstm_residual_ag,ag,8,seasonal_residual,raw_mse,0,,8,8,6,0,1200,0
naive_lag1,6,1440.0,14.705098622697168,4.462521394199009,1.0053756083183094,0.2563482512482182,58.42620965897741,0.784837540820501,0.5801380000420602,all,14.705098622697168,4.247728480093026,False,False,14.705098622697168,4.462521394199009,1440,0,1,ablation_ia30_seq6_lstm_residual_ag,ag,8,seasonal_residual,raw_mse,0,,8,8,6,0,1200,0
naive_lag1,9,720.0,22.83782855597976,7.7694773887012465,1.417217052295915,0.3871067825752533,77.26101570668402,0.7816060872616056,-2.1387621739738027,all,22.83782855597976,4.992335853852052,False,False,22.83782855597976,7.7694773887012465,720,0,1,ablation_ia30_seq6_lstm_residual_ag,ag,8,seasonal_residual,raw_mse,0,,8,8,6,0,1200,0
sarima,0,2880.0,5.148555589017854,1.5792683738333937,0.6989351314383221,0.1294972451670428,55.17033167744477,0.9615608184822771,0.9116579025600798,all,14.691387062635464,4.619036433402385,True,False,5.148555589017854,1.5792683738333937,2880,8,1,ablation_ia30_seq6_lstm_residual_ag,ag,8,seasonal_residual,raw_mse,0,,8,8,6,0,1200,0
sarima,1,2640.0,5.177883370349858,1.5268514875703576,0.6658053248461768,0.1261049132343066,53.1771473971716,0.9673019210693552,0.9170992671230204,all,15.970441345186568,4.164559188742336,True,False,5.177883370349858,1.5268514875703576,2640,7,1,ablation_ia30_seq6_lstm_residual_ag,ag,8,seasonal_residual,raw_mse,0,,8,8,6,0,1200,0
sarima,3,2160.0,5.3366923529289165,1.5217730710783075,0.5809461576276681,0.1170899786254944,42.19399446887211,0.9759129678458792,0.9265595729572448,all,19.104871418121487,4.062688833029685,True,False,5.3366923529289165,1.5217730710783077,2160,8,1,ablation_ia30_seq6_lstm_residual_ag,ag,8,seasonal_residual,raw_mse,0,,8,8,6,0,1200,0
